dataset,sample,assigned_cell_type,n_cells,PARK7_pct_detected,PARK7_mean_log2CPM,PARK7_median_log2CPM,PARK7_positive_mean_log2CPM,PARK7_detection_rank_within_sample
GSE148071,GSM4453615_P40,T cells,264,18.181818181818183,1.721908388619177,0.0,9.470496137405473,5.0
GSE148071,GSM4453616_P41,B cells,10,30.0,2.7412478289889832,0.0,9.137492763296612,7.0
GSE148071,GSM4453616_P41,Endothelial cells,15,60.0,4.935844409681639,7.494318570975623,8.2264073494694,3.0
GSE148071,GSM4453616_P41,Epithelial/tumor,5686,77.08406612733029,6.634384495648385,8.308705916364966,8.606687255819466,1.0
GSE148071,GSM4453616_P41,Fibroblasts,303,57.0957095709571,4.969019901188978,7.779539850178819,8.702965491677805,4.0
GSE148071,GSM4453616_P41,Low-confidence/other,1,0.0,0.0,0.0,0.0,8.0
GSE148071,GSM4453616_P41,Mast cells,11,72.72727272727273,6.104048270614589,7.990201253466766,8.39306637209506,2.0
GSE148071,GSM4453616_P41,Myeloid cells,184,44.565217391304344,3.7461757259843496,0.0,8.40605284855025,5.0
GSE148071,GSM4453616_P41,Plasma cells,11,36.36363636363637,2.9510453440890854,0.0,8.115374696244984,6.0
GSE148071,GSM4453616_P41,T cells,1,0.0,0.0,0.0,0.0,8.0
GSE148071,GSM4453617_P42,B cells,93,39.784946236559136,3.4952172148185303,0.0,8.78527570211144,5.0
GSE148071,GSM4453617_P42,Endothelial cells,6,16.666666666666664,1.5228803413814198,0.0,9.137282048288519,8.0
GSE148071,GSM4453617_P42,Epithelial/tumor,1,100.0,8.923315967677555,8.923315967677555,8.923315967677555,1.0
GSE148071,GSM4453617_P42,Fibroblasts,86,59.30232558139535,5.1442486726015995,7.65695133337921,8.674615408700737,2.0
GSE148071,GSM4453617_P42,Low-confidence/other,28,7.142857142857142,0.7783018630663838,0.0,10.896226082929374,10.0
GSE148071,GSM4453617_P42,Mast cells,6,33.33333333333333,2.8036883833707917,0.0,8.411065150112375,6.0
GSE148071,GSM4453617_P42,Myeloid cells,194,40.20618556701031,3.4592015300842607,0.0,8.60365508764547,4.0
GSE148071,GSM4453617_P42,NK cells,36,11.11111111111111,1.1063278775776646,0.0,9.956950898198981,9.0
GSE148071,GSM4453617_P42,Plasma cells,143,41.95804195804196,3.4862163368501102,0.0,8.308815602826096,3.0
GSE148071,GSM4453617_P42,T cells,408,30.637254901960787,2.927420153255454,0.0,9.555099380225801,7.0
