TCGA_patient,CD79B,TP63,HMOX1,CD40,GSR,CD79A,NKG7,NFE2L2,PARK7,EPCAM,CAT,JCHAIN,TXN,SOD1,MS4A1,CD3D,MZB1,CD19,NQO1,KRT5,LST1,GPX1,B_lineage_marker_module,NRF2_redox_marker_module,Squamous_epithelial_module
TCGA-21-1076,2.9970304041590428,7.927505690654163,7.061399816741657,5.8044175952239545,6.07088838828512,6.406964320182134,5.2420917944784655,7.651962239599172,7.249604620388976,7.626811809115248,5.809582937472582,10.10846898251917,10.11737128814138,7.626032773910874,4.291021471111602,6.033413089858083,6.18562673678281,3.1193229730893206,7.315208446566461,10.460789960817316,5.238190707761313,9.55859587336575,5.558978926152576,7.651380220510374,8.671702486862243
TCGA-21-1077,2.503221507772837,7.997287326124988,6.611988240102891,6.379965723309982,7.753284953774906,6.967989344996086,3.212833886500308,8.31024058649135,7.822381539492392,9.088554527037257,5.530373561504743,11.101997330903265,10.397406602583189,8.776823839646461,2.5720650356225425,3.53538114445554,6.813505449815316,2.524991397534857,7.995044067858207,11.415445488997586,3.7375677936453817,8.970909433483378,5.551962255707841,8.04325891068064,9.500429114053278
TCGA-21-1078,0.3926471439642633,7.5015609569816,3.924042860994362,6.365062585201108,6.256110539459153,2.384795835446217,3.2754540944613217,7.255698051632833,7.789350402912713,5.459270945924665,7.707495111759958,6.925013160812998,8.892330912367658,8.277686323970693,0.0760117385696412,1.6692535865211644,2.2139071409750306,0.1325110397991954,7.748716821788612,4.653696359851434,1.9887028623432288,9.70918619372686,2.641421234966922,7.471408351962516,5.8715094209192324
TCGA-21-1079,1.1948435119995195,8.032214927085857,5.864589795118977,4.669746799125439,4.372067549433253,3.6796827663290737,3.111865963867557,6.555063021371712,7.841923443687285,4.381241835580287,7.31168747308146,6.10345777410633,9.077956477905342,7.145711076934048,0.0843364457233237,3.38355223995426,4.2769581351333565,0.7398481026993274,4.944553948813519,13.090286773383298,2.998664889503333,8.926126953804559,2.9641247907309096,6.774719537057859,8.501247845349814
TCGA-21-1080,1.594166328050996,8.08054947847739,5.384070535023275,4.741396872415068,6.065505534567047,4.312418314519981,4.998168418511514,7.392333738880412,8.216969397990015,7.682546611736898,4.893857263415047,7.786406865043206,10.427796909161415,8.707316678946693,2.04302947156641,4.486102932020961,4.744252606905698,1.8433005118901933,3.877282906349858,13.010434166807173,3.033951525798175,8.963511693669055,3.8664244243416497,6.9639594075016005,9.591176752340486
TCGA-21-1081,0.9393770465477952,7.809720547119972,4.705983429239139,3.4391044719241166,7.448995079962308,3.61953039353937,2.848798181244189,7.242669189974767,7.003017484913525,7.10651583126625,4.350978065299178,6.09166387208201,9.542890444685732,8.35015907580293,0.2750070474998697,2.5422085143228403,4.664602301490606,0.6483734021302281,7.30746495642521,11.649365228923685,2.6485114612739453,7.462840054767408,2.811094076459142,7.051497537019584,8.855200535769969
TCGA-21-1082,2.219431860890291,6.518240841981361,5.639709701947065,5.4689970387776405,6.183780263949385,6.588210915931807,4.653702091393462,6.235616020118625,7.241735332731317,7.125996113784092,4.335583296670125,8.8576336493601,8.54293318759807,7.697311646175945,2.1828511758865825,4.557557133898119,6.8239569365570425,2.531917887364275,2.724279182926837,12.129715245455143,3.644052382959452,8.467137209495935,4.953285637823963,6.228293813610248,8.591317400406865
TCGA-21-1083,2.3146965256562866,6.486231677981013,7.2039401328475865,6.4816719038943935,6.599612373376135,5.76866602507996,5.463622456851893,6.569731075594875,7.544758925847364,8.12653309423747,5.848547830706332,8.914182692140887,9.86243573807386,8.785983674473059,0.8245642120898271,4.685558966536357,5.60763509712073,2.440686483867197,9.017768279512543,12.00752935375889,3.285846056749425,8.741580240258003,4.62172899140704,7.828699918105299,8.873431375325792
TCGA-21-5782,3.259890114569871,7.7971907089928605,4.879176419642062,5.31638110255605,6.045825174901746,7.502358450859517,5.000374150505684,6.123264748283486,7.607017325953914,7.789553206804394,4.994774302959189,7.587832260832342,8.376828219788166,8.012553589484414,1.7959331473149636,4.462674036125981,7.3293712018031965,2.779301750205619,3.5912485544823345,12.709416352487716,3.1301895689413084,8.664015567026038,5.081581146877366,6.335960822070929,9.432053422761657
TCGA-21-5783,1.3784561339158168,7.0044227384921305,4.691601161585275,4.990437575108676,5.812169602561518,4.573259387418675,3.1185424601819003,6.171499084497854,7.868517010531102,7.506510704610114,6.730880385055068,8.23581751260313,9.368360875101317,8.01547303780467,0.8006618032449503,3.187799412524695,4.827509116694699,1.0982847957234223,5.566681226736119,12.215962923111386,3.351048760346597,8.952500147022592,3.7006323321013386,6.913645690045552,8.908965455404543
TCGA-21-5784,2.891671927988425,7.919287041208127,6.357448197215928,5.476994022475529,6.4275810326632135,7.139673106629709,5.657611425387483,7.331244807540799,7.830319982314402,5.6327277104960505,6.304567624134405,10.297304237364203,9.312150533614451,8.221205251942413,2.4930324181283408,4.890256979914988,7.098253209048805,2.52712039345895,4.86343302229035,12.657362243420849,4.794259890887401,9.519255677092168,5.417721330727709,7.292110768311716,8.736458998375008
