gene,distance,Z,FC,p.value,p.adj
RUNDC1,1.54518458829061e-09,0.0137076722298302,0.00678972209928063,0.934328818927235,0.999950297526443
VAMP3,1.54168329002726e-09,0.0121430171429542,0.00675898673156212,0.93447729065775,0.999950297526443
POU2F1,1.54147711165543e-09,0.0120507739117023,0.00675717901436846,0.934486033674288,0.999950297526443
NSMCE4A,1.54127162627794e-09,0.0119588289132941,0.00675537761372035,0.934494747312187,0.999950297526443
STIP1,1.54102441328223e-09,0.0118481971488242,0.00675321072350188,0.934505230426324,0.999950297526443
MRPL34,1.53975481390928e-09,0.0112797620283849,0.00674208781050933,0.934559068208278,0.999950297526443
SF3A1,1.53907721645871e-09,0.0109761981541208,0.00673615515647678,0.934587802075127,0.999950297526443
CWF19L2,1.53899914828071e-09,0.01094121532638,0.00673547180411889,0.934591112601665,0.999950297526443
CCDC66,1.53863172195413e-09,0.0107765464166121,0.00673225608532479,0.934606693544139,0.999950297526443
C5orf24,1.53857451186355e-09,0.0107509032520597,0.00673175545113865,0.934609119575955,0.999950297526443
G3BP1,1.53857190087448e-09,0.0107497329117598,0.0067317326033339,0.934609230296692,0.999950297526443
PDHB,1.53799160715001e-09,0.0104895767413539,0.00672665562836876,0.934633838071357,0.999950297526443
TMEM183A,1.53787367596598e-09,0.0104366945143775,0.00672562408561491,0.934638839036061,0.999950297526443
FAM159A,1.53683973798476e-09,0.00997289310755759,0.00671658362839883,0.934682684100571,0.999950297526443
RP11-660L16.2,1.53660322119074e-09,0.00986675478999152,0.00671451644787616,0.934692713834533,0.999950297526443
EIF4A1,1.53601027257521e-09,0.0096005964714275,0.00670933541609483,0.934717858466098,0.999950297526443
ICE2,1.53572726707057e-09,0.00947352824100392,0.00670686329209045,0.934729859645581,0.999950297526443
ZBTB7A,1.53545559286835e-09,0.00935152652313103,0.00670449057838298,0.934741380321884,0.999950297526443
KRR1,1.53526730202616e-09,0.00926695788889759,0.00670284635398409,0.934749365032999,0.999950297526443
RASGRP3,1.53414117492029e-09,0.00876096266800791,0.00669301681014952,0.934797120013058,0.999950297526443
NAP1L4,1.53283714743689e-09,0.00817458604067461,0.00668164345202512,0.934852419398221,0.999950297526443
CSNK1E,1.53237484414016e-09,0.00796658881167608,0.00667761369584652,0.934872024189401,0.999950297526443
LYRM7,1.53213951673117e-09,0.00786068827417824,0.00667556288579434,0.934882003680695,0.999950297526443
CCDC88C,1.52890559809776e-09,0.00640379375340493,0.00664741212849052,0.935019144979881,0.999950297526443
NMRK1,1.52875664060801e-09,0.00633661635698586,0.00664611690975399,0.935025461890205,0.999950297526443
USP36,1.52820827107732e-09,0.0060892563804065,0.00664134980129151,0.93504871689004,0.999950297526443
CCNL1,1.52690042150064e-09,0.0054989633085809,0.00662998725343173,0.935104179789855,0.999950297526443
LILRB1,1.52570714648889e-09,0.00495995855976585,0.00661962861232905,0.935154784120045,0.999950297526443
SNX27,1.52382504519821e-09,0.00410898479334233,0.00660330683388835,0.935234600683329,0.999950297526443
C7orf50,1.52275474494785e-09,0.00362460787990612,0.00659403406475209,0.935279990500903,0.999950297526443
DYNC1LI2,1.52261536908393e-09,0.00356150760098046,0.00659282703238153,0.935285901236333,0.999950297526443
HADHB,1.52102631704908e-09,0.00284169566882458,0.00657907322601301,0.935353290962455,0.999950297526443
CCNH,1.52090491447666e-09,0.0027866727505526,0.00657802303440278,0.935358439514044,0.999950297526443
METTL21A,1.51956106241573e-09,0.0021773203813272,0.00656640365659564,0.935415431004788,0.999950297526443
USP8,1.51951070008962e-09,0.00215447415828879,0.00656596840737752,0.935417566829686,0.999950297526443
MFNG,1.51827335346371e-09,0.00159293882470335,0.0065552793467619,0.935470041830067,0.999950297526443
ACAA2,1.51656815605326e-09,0.000818360627962148,0.00654056293456981,0.935542358512588,0.999950297526443
ETS1,1.51635504778692e-09,0.000721498275205695,0.00653872490297129,0.935551396379122,0.999950297526443
MX1,1.51508080685485e-09,0.000142054608629618,0.00652774012715192,0.935605436781201,0.999950297526443
