sample,cell_group,threshold_method,score,n_high,n_low,lower_cutoff,upper_cutoff,mean_high,mean_low,delta_high_minus_low,mannwhitney_p,mannwhitney_fdr
GSM4453581_P6,B cells,within_sample_positive_median,NRF2_redox_score,10,87,,8.896708566246401,3.5985509388748786,2.6781404058699283,0.9204105330049503,0.13295525313855067,0.45228868167133324
GSM4453581_P6,B cells,within_sample_positive_median,Ribosome_translation_score,10,87,,8.896708566246401,5.308142293356613,6.192564215671667,-0.8844219223150542,0.23314527377884298,0.45228868167133324
GSM4453581_P6,B cells,within_sample_positive_median,Apoptosis_DDR_score,10,87,,8.896708566246401,1.1203141098022849,1.4295278578664479,-0.309213748064163,0.5935536333749272,0.5935536333749272
GSM4453581_P6,B cells,within_sample_positive_quartiles,UPR_ER_stress_score,5,5,8.520818483310578,9.589412690337817,3.277695210441594,5.668191633476721,-2.390496423035127,0.007936507936507936,0.031746031746031744
GSM4453581_P6,B cells,within_sample_positive_quartiles,NRF2_redox_score,5,5,8.520818483310578,9.589412690337817,2.674926500399797,5.019449217297502,-2.3445227168977048,0.05555555555555555,0.07407407407407407
GSM4453581_P6,B cells,within_sample_positive_quartiles,Ribosome_translation_score,5,5,8.520818483310578,9.589412690337817,5.4128806862402765,7.890092727329433,-2.4772120410891567,0.09523809523809523,0.09523809523809523
GSM4453581_P6,B cells,within_sample_positive_quartiles,Apoptosis_DDR_score,5,5,8.520818483310578,9.589412690337817,0.6687048969178708,2.786932407278224,-2.118227510360353,0.05241162867102868,0.07407407407407407
GSM4453581_P6,B cells,detected_vs_undetected,UPR_ER_stress_score,19,78,0.0,0.0,4.206252225469011,2.9248381930817224,1.2814140323872882,0.004105981667303751,0.008211963334607502
GSM4453581_P6,B cells,detected_vs_undetected,NRF2_redox_score,19,78,0.0,0.0,4.181026311589848,2.430054163836224,1.7509721477536244,0.00023211642716981649,0.0009284657086792659
GSM4453581_P6,B cells,detected_vs_undetected,Ribosome_translation_score,19,78,0.0,0.0,6.085190220357553,6.105331993720609,-0.020141773363056004,0.7332038312775302,0.7332038312775302
GSM4453581_P6,B cells,detected_vs_undetected,Apoptosis_DDR_score,19,78,0.0,0.0,1.643837032950391,1.3376815526454666,0.30615548030492445,0.3794441996447778,0.5059255995263704
GSM4453581_P6,Plasma cells,within_sample_positive_median,UPR_ER_stress_score,7,82,,8.40780021339641,4.964329557245286,4.310887901141151,0.6534416561041345,0.318013783222382,0.4240183776298427
GSM4453581_P6,Plasma cells,within_sample_positive_median,NRF2_redox_score,7,82,,8.40780021339641,4.086302634329899,1.9148050335269577,2.171497600802941,0.007091833536082799,0.028367334144331197
GSM4453581_P6,Plasma cells,within_sample_positive_median,Ribosome_translation_score,7,82,,8.40780021339641,6.762189860306425,7.235611061250646,-0.47342120094422047,0.44966129950151956,0.44966129950151956
GSM4453581_P6,Plasma cells,within_sample_positive_median,Apoptosis_DDR_score,7,82,,8.40780021339641,1.5208768056663662,0.942238441918434,0.5786383637479322,0.1975193938734826,0.3950387877469652
GSM4453581_P6,Plasma cells,within_sample_positive_quartiles,UPR_ER_stress_score,4,4,7.9487350112757245,8.835049299132706,4.931287123523391,6.202930721570487,-1.2716435980470964,0.2,0.4
GSM4453581_P6,Plasma cells,within_sample_positive_quartiles,NRF2_redox_score,4,4,7.9487350112757245,8.835049299132706,4.099934489567014,5.0207251900114755,-0.9207907004444618,0.6857142857142857,0.6857142857142857
GSM4453581_P6,Plasma cells,within_sample_positive_quartiles,Ribosome_translation_score,4,4,7.9487350112757245,8.835049299132706,7.971376215312429,8.776051443679385,-0.8046752283669569,0.4857142857142857,0.6476190476190476
GSM4453581_P6,Plasma cells,within_sample_positive_quartiles,Apoptosis_DDR_score,4,4,7.9487350112757245,8.835049299132706,0.7390023324453638,2.4177740139993986,-1.6787716815540348,0.19126698687886878,0.4
GSM4453581_P6,Plasma cells,detected_vs_undetected,UPR_ER_stress_score,14,75,0.0,0.0,5.341880735154736,4.179423793361668,1.1624569417930681,0.01141183232350416,0.01521577643133888
GSM4453581_P6,Plasma cells,detected_vs_undetected,NRF2_redox_score,14,75,0.0,0.0,4.631210150683479,1.6104158543993485,3.020794296284131,1.8434990359383113e-06,7.373996143753245e-06
GSM4453581_P6,Plasma cells,detected_vs_undetected,Ribosome_translation_score,14,75,0.0,0.0,7.775683231749042,7.090611610669486,0.6850716210795564,0.4269364160860587,0.4269364160860587
GSM4453581_P6,Plasma cells,detected_vs_undetected,Apoptosis_DDR_score,14,75,0.0,0.0,1.9530115412630613,0.8075670439905771,1.1454444972724842,0.002178862862945788,0.004357725725891576
GSM4453581_P6,B-lineage combined,within_sample_positive_median,UPR_ER_stress_score,17,169,,8.76059724650536,4.140736112714719,3.7035903681800395,0.43714574453467936,0.3005980284043277,0.40079737120577025
GSM4453581_P6,B-lineage combined,within_sample_positive_median,NRF2_redox_score,17,169,,8.76059724650536,3.6975854541031987,2.318005344196438,1.3795801099067608,0.0029100527515976485,0.011640211006390594
